first_name,last_name,phone_number,street,county,email,ID,dob,date,val1,val2,val1_CI
Shawna,Walker,356-073-8493x0995,76114 Dagny Place,Mason County,doreen.dickinson@yahoo.com,300-61-8925,1956-08-20,10/04/2024,0.241,0.799,0.19-0.27
Nim,Homenick,(698)255-1521,11287 Kaitlyn Alley SouthWest,Pacific County,jaheim50@ltd.info,781-51-4300,1988-11-08,07/06/2024,0.069,0.346,0.05-0.11
Perry,Dibbert,1-835-301-8452x7974,50136 Donal Avenue,Thurston County,tpaucek@bruen.org,596-49-5141,2014-08-27,2025/05/21,0.04,0.023,0.01-0.09
Tobe,Reilly,880.753.9575x43387,460 Yadiel Boulevard E,Kitsap County,pinkey83@hotmail.com,550-53-2658,1949-11-02,04/07/2024,0.153,0.13,0.14-0.16
Braedon,Kertzmann,976-137-2055,9313 Sage Fords Apt. 642 Pl NorthEast Apt. 642,King County,isadore.eichmann@mohr.org,603-41-7867,2013-06-30,2024/01/08,0.39,0.023,0.39-0.44
Lilianna,Hessel,(157)216-6228x607,0394 SouthWest Eathel Greens Apt. 766 Vista Apt. 766,King County,jerrod.effertz@hotmail.com,124-56-6847,1952-03-11,03/18/2025,0.637,0.114,0.58-0.7
Rhianna,Hudson,147.838.9068,1612 King St NE Apt. 724,King County,dach.pat@lakin.com,560-33-4330,2004-06-27,2024/10/28,0.116,0.26,0.12-0.15
Othel,Gleichner,773.449.9052,0560 SouthEast Gibson Drive Apt. 236,King County,tillman.carl@ltd.net,392-42-3840,1978-03-09,06/25/2025,0.175,0.147,0.12-0.22
Elmyra,Krajcik,1-798-125-7932,309 Schmeler Rd West Apt. 265,King County,murazik.henriette@hudson.biz,264-26-3150,1930-05-11,09/25/2024,0.567,0.611,0.56-0.65
Illya,Schuppe,458-764-8934x002,777 Kitty Mills Apt. 140 Dr Apt. 140,King County,mitzi72@inc.net,200-36-5938,1931-05-09,2024-04-18,0.339,0.376,0.29-0.44
Lilliana,Block,1-013-146-2007,960 Araminta Ave S,Thurston County,qpollich@inc.info,824-40-5600,1971-04-02,2024-06-27,0.147,0,0.11-0.19
Wilburn,Rodriguez,1-859-319-5105,446 NorthEast Caddie Boulevard Apt. 274,Ferry County,verlyn.muller@marks.com,174-32-2563,1971-08-29,07/11/2024,0.231,0,0.22-0.25
Ruel,Schaden,(088)705-3746,663 S Towne Alley,Asotin County,jaunita24@inc.com,125-35-4400,1949-02-27,06/21/2024,1,1,0.99-1
Josiah,McDermott,722.195.9724x03361,712 Roosevelt Dam Ste,Yakima County,gisselle28@goldner.com,223-23-1071,2000-05-06,08/14/2024,0.136,0.78,0.11-0.16
Gwen,Cummings,1-832-665-2412,06138 SW Kaydence Market Apt. 368,King County,tai77@hotmail.com,873-19-2726,1980-02-13,2025/02/22,0.014,0.361,0-0.02
Destini,Metz,1-019-602-3391x75179,958 Macie Street South Apt. 754,Clark County,ekris@yahoo.com,240-47-2051,2018-01-14,2024-12-17,0.741,0.883,0.74-0.75
Nilda,Davis,1-833-553-5570x88567,694 South Adams Vista,King County,ebernier@and.com,654-52-3593,2005-12-25,06/12/2024,0.298,0.713,0.25-0.35
Joana,Walsh,679.713.7301x1350,1803 West Connelly Pl,King County ,haag.gabriel@yahoo.com,718-51-3794,1973-08-06,05/24/2024,0.422,0.45,0.37-0.46
Dewey,Bednar,962.143.1760x19903,1632 SE Anastasia Lane,King County,bridgett.kertzmann@ratke.net,338-76-4517,1959-01-28,2024/12/21,0.801,0.245,0.77-0.82
Dante,Emard,069-850-3484x70688,831 Ismael Avenue W,Thurston County,squire.sauer@hotmail.com,099-77-4534,2016-07-16,2024/06/09,0,0.001,0-0.04
Dyllan,Boehm,05598085478,176 West 53th St. Apt. 246,Thurston County,dgoyette@yahoo.com,086-15-8665,2024-03-19,05/30/24,0,0.947,0-0.01
Angelo,McClure,611-628-9215,744 Rippin Way SouthWest Apt. 328,Spokane County,darmstrong@romaguera.com,417-02-4661,2022-06-01,03/02/24,0.539,0.792,0.53-0.57
Olga,Kilback,(810)980-1712x576,3567 SE 79th Ave. Apt. 893,King County,alysha24@reinger.net,354-75-1810,1952-04-27,2025-07-04,0.39,0.315,0.35-0.43
Leonor,Sanford,304-347-0740x90432,682 Denesik Locks Ln,Franklin County,maryann.rath@hotmail.com,177-98-0635,1984-10-27,08/28/2024,0.57,0.536,0.55-0.66
Sanders,Turcotte,(836)205-7185x10858,57228 Ann Rd North,Skagit County,farrah.monahan@yahoo.com,328-08-5213,2015-08-14,07/09/2025,0.247,0.3,0.24-0.27
Chancy,Doyle,(361)401-3512,1461  5th Ave.,Walla Walla County,price.emett@hotmail.com,743-43-7180,1990-03-19,10/06/24,0.294,0.329,0.27-0.3
Federico,Gibson,965.486.4918,9853 Russel Rd Apt. 652,King County,carrol.schroeder@hotmail.com,791-97-5377,1933-02-12,2024/07/04,0.077,,0.04-0.12
Marcia,Rowe,(242)693-6529x360,7055 NE Lulie Blvd,Benton County,ericka83@mitchell.biz,448-59-8799,1991-02-26,2024-09-27,0.097,0.126,0.09-0.13
Ara,Boyle,1-789-976-4596x24494,4067 NE McGlynn Alley,Garfield County,deryl73@kuvalis.com,448-06-5554,1954-03-15,2025-03-15,0.317,0.79,0.27-0.33
Pamala,Gutkowski,1-970-229-1632,102  Lucious Market,Snohomish County,owisoky@runolfsson.com,318-01-7126,1954-11-30,03/10/2025,0.988,1,0.98-1
Pauline,Braun,272-748-8156x6338,7452 W 25th St,King County,marsha.dickinson@franecki.info,643-52-9471,1973-04-20,01/01/2025,0.139,0.61,0.12-0.16
Henrietta,Nienow,1-125-773-7957,55940 32th Avenue South,Whatcom County,crooks.andon@lubowitz.com,792-57-8941,2019-04-13,06/18/2025,0.144,0.019,0.14-0.17
Tarsha,Ullrich,1-217-805-7768,103 SW Howe Avenue,Snohomish County,beahan.jefferey@medhurst.info,304-06-2849,1975-10-11,05/01/2024,1,1,0.98-1
Mari,Gaylord,157-642-6931x464,62781 Jast Rd,Kitsap County,giuseppe49@wilkinson.com,814-63-9899,1969-05-25,2025/02/05,0.262,0.342,0.21-0.33
Adrien,Bergstrom,513.501.1089x40080,159 Jast Ln,King County,olson.freddy@gmail.com,376-83-0288,1965-07-18,05/03/2025,0.519,0.336,0.51-0.59
Iris,Jast,+13(8)3643085542,21811 W Kris Avenue,Douglas County,khari.shields@bode.net,839-78-8676,2001-01-02,2025-04-16,0.356,0.404,0.21-0.42
Ardath,McCullough,305.291.0114,5567 Reinhold Alley,King County,glennis39@bernier.net,298-18-5810,2009-02-13,2024-04-22,0.529,0.491,0.5-0.6
Stasia,Bogan,(509)197-8941,089 Hane Skyway Road E,Grays Harbor County,roberta.walter@gmail.com,144-64-4567,2006-11-26,07/18/25,0.981,0.877,0.93-1
Georgia,Friesen,(761)160-0522,8205 Bins Ave W,Whatcom County,council65@hotmail.com,882-74-1967,1987-12-03,2025/04/19,0.117,0.345,0.1-0.19
Hardie,Wisoky,374-481-9179x857,55492 W 28th St.,Okanogan County,rene88@yahoo.com,540-45-3443,1941-11-21,2024-05-28,0,0,0-0.03
Sid,Dare,03792012955,41784 East Tyrone Highway,Whatcom County,gislason.willaim@yahoo.com,564-98-4732,1933-02-16,01/24/2025,0.023,0.01,0.01-0.04
Franco,Reilly,06137679694,30608 Swaniawski Blvd N,King County,jermain40@llc.org,369-71-7991,1942-04-18,10/18/24,0.313,0.517,0.31-0.33
Everet,Fadel,(252)348-8382,10126 Stephanie Corner Way,Snohomish County,skreiger@grant.info,045-28-9252,1997-02-14,03/24/2025,0.985,0.999,0.91-1
Lyric,Barton,1-233-826-8361x466,68093 Toriano Avenue,King County,qwaters@hotmail.com,512-41-4855,1967-07-18,06/22/2025,0.302,0.086,0.28-0.34
Cathey,Kub,1-868-735-5793x56204,08043 S Durgan Rd Apt. 266,Mason County,haag.holli@gorczany.com,144-64-3611,1987-03-25,09/03/2024,0.715,0.486,0.71-0.74
Herlinda,Thompson,(253)807-4138,918 Pepper Place E,King County,amy55@yahoo.com,750-95-5494,1983-08-27,10/21/2024,0.258,0.468,0.23-0.32
Tamiko,Gulgowski,247-042-7319,75554 Kassulke Street Avenue,Benton County,hoppe.felecia@bode.com,293-71-5237,1973-03-04,06/02/2024,0.539,Not Applicable,0.52-0.56
Andra,Rempel,828-585-2713,4040 Alonso Boulevard SW,King County,suzanna.kemmer@gmail.com,844-30-8575,2003-04-08,2024-09-29,0.292,0.146,0.28-0.33
Newt,Hansen,559.433.9821x783,38960 East Lottie Row Lane,Yakima County,taja98@gmail.com,619-62-8428,1940-07-17,2025/04/09,0.987,0.99,0.97-0.99
Alline,Feeney,(904)243-5345,21848 NE Schumm Circles Pl,Whatcom County,shameka96@hotmail.com,583-08-3611,2005-08-17,04/22/24,0.075,0.092,0.05-0.09
Ted,Breitenberg,798.584.9670,47039 76th Ave West Apt. 451,Whatcom County,rkohler@hotmail.com,455-75-7317,2002-06-17,2024/09/11,0,0.009,0-0.11
Kaylyn,Graham,+83(1)6198260876,4484 Karol Road NorthEast Apt. 326,Walla Walla County,goldie46@inc.biz,610-62-9052,1969-03-09,12/13/2024,0.314,0.011,0.3-0.33
Timmie,Hahn,1-335-853-7564x2815,15463 Deb Avenue Apt. 694,Cowlitz County,zmills@yahoo.com,197-51-4103,1952-10-01,2024/11/07,0,0,0-0.05
Ryleigh,Eichmann,190.641.4227x58449,47693 Prohaska Place,Kitsap County,roxanna71@yahoo.com,207-33-2541,1970-11-21,08/07/2024,0.161,0.366,0.16-0.21
Dorene,Berge,480-319-1257x9387,128 SE Monroe Ave,King County,asher37@fisher.com,230-85-3378,1958-10-18,2024/08/18,0.807,0.753,0.8-0.9
Maudie,O'Kon,01432062205,42145 Murazik Way North Apt. 350,Pierce County,broderick.williamson@hotmail.com,751-71-9982,1937-03-09,2024/11/12,1,0.863,0.98-1
Ewin,Mitchell,715-647-3321x6988,4374 NorthEast Price Lane,Snohomish County,wgoldner@group.info,270-18-0622,2017-05-24,06/07/25,0.989,1,0.93-1
Flavia,Frami,649-142-3896x971,9411 Rachel Blvd West,Spokane County,romaguera.caiden@hotmail.com,586-11-9646,2021-08-25,06/23/2025,0.665,0.126,0.6-0.68
Kiara,Cormier,819.737.1115x10560,4858 44th Ave,Pierce County,fheidenreich@yahoo.com,752-43-2164,1982-05-13,2025-07-19,0.987,0.987,0.94-1
Beau,Hoeger,390-136-1223,11077 O'Keefe Shores Place,King County,bayer.hasel@spinka.com,432-17-7128,1962-05-22,2024/06/20,0.901,0.721,0.86-0.93
Kane,Olson,1-281-982-1293x9226,849 NorthEast Burl Boulevard Apt. 209,Benton County,may90@homenick.net,360-58-8318,2003-08-29,02/22/2024,0.164,0.43,0.11-0.18
Davis,Windler,+97(1)7907743985,1292 Williamson Vista,King County,witting.stanton@gmail.com,797-22-4481,1972-03-28,2025-04-23,0.548,0.46,0.53-0.55
Archie,Gerlach,(146)719-6169x1857,9938 Dorman Ln,King County,jordan99@schumm.com,435-76-1162,1944-05-27,11/05/2024,0.579,0.553,0.53-0.63
Damian,Haley,(637)453-9083,7711 E Keeling Passage Apt. 396 Highway Apt. 396,Cowlitz County,cassin.vic@nader.com,760-91-7016,1948-05-17,2024-02-14,0.326,0.001,0.32-0.35
Sumner,Muller,(275)275-3078,2455 NorthEast Sylva Rd,Snohomish County,dan.cole@group.com,300-33-7364,1962-05-19,2025-08-31,1,0.58,0.9-1
Veta,Swaniawski,1-653-236-4827,1657 SW Brycen St Apt. 571,Pierce County,jettie45@ltd.net,852-69-8817,1962-05-25,2024/11/17,0.707,0.975,0.7-0.82
Zora,Volkman,+10(5)1976151574,92864 Ona Avenue NE,King County,lynda.mckenzie@marquardt.com,875-81-2273,1996-05-14,12/18/2024,0.301,0.721,0.29-0.32
Mae,Shanahan,787.105.8588x5113,09533 NE Marion Ln Apt. 997,Pierce County,jordan.zboncak@flatley.com,372-91-6220,2009-01-31,10/28/2024,0.834,0.779,0.8-0.89
Enola,Langosh,06359433131,0663 SW Third St,Snohomish County,emmerich.colon@hotmail.com,297-26-9351,1951-12-02,09/06/2024,0.478,0.982,0.43-0.48
Cambria,Anderson,1-089-755-8302x34044,69570 Ethelene Lane NorthWest,Thurston County,uziemann@yahoo.com,842-04-4720,1994-09-07,2024/03/24,0.771,0.003,0.69-0.82
Joan,Hayes,+96(8)6209757204,81757 Isadora Place,King County,ao'reilly@breitenberg.org,054-89-6536,1945-05-27,01/07/2024,0.352,0.345,0.24-0.41
Louie,Beier,439.083.8508,38561 NorthEast Terrie Alley,Pierce County,beatty.alzina@gmail.com,340-99-2406,1982-09-09,09/27/2024,1,0.878,0.95-1
Tressie,Paucek,491-438-3072x22150,1959 Jann Place South,Chelan County,vankunding@yahoo.com,650-86-8854,1980-04-07,2025/01/10,0.209,0.477,0.17-0.25
Makenzie,Bernier,(572)836-4564x5978,134 NorthWest Bryon Branch Vista,Pierce County,jmckenzie@yahoo.com,365-74-3403,1955-03-26,07/28/2025,0.893,1,0.86-0.92
Mose,Harris,+97(0)6990873967,87321 Borer Drive SE,Benton County,infant39@gmail.com,130-70-5793,1989-08-02,2024-08-29,0.277,0.143,0.25-0.31
Isobel,Stoltenberg,681.692.7147x8895,4980 60th Ave Apt. 105,Spokane County,kmclaughlin@hotmail.com,375-82-7607,1954-11-18,2025-06-29,0.224,0.57,0.21-0.25
Audie,Skiles,156.587.3382,8360 West 78th St.,Pierce County,uarmstrong@hotmail.com,070-85-1237,1944-04-17,08/08/24,0.946,0.978,0.87-0.98
Urban,Boehm,048-347-2332,0722 NE Ziemann Boulevard,Grant County,moses.larkin@gmail.com,851-11-4624,1973-04-30,01/04/2024,0.656,0.239,0.65-0.77
Charlton,Swaniawski,357.867.3543x323,0550 Norris Rd Apt. 243,Clark County,lillia.quigley@gmail.com,828-15-1157,2006-01-29,03/13/2025,0.526,0.478,0.51-0.56
Lainey,Gulgowski,+22(2)6282224012,764  Bogisich Hwy,Pierce County,uwalter@yahoo.com,083-46-0070,1948-03-18,05/02/24,1,1,1-1
Chase,Tillman,365-549-6523,36178 40th Avenue,Franklin County,cordia.ullrich@inc.org,429-65-9613,1979-06-05,02/10/2024,0.61,0.766,0.58-0.63
Michal,Howe,+28(0)7978532804,382  Fay Blvd,Benton County,tnader@yahoo.com,464-67-6365,1979-08-26,02/02/2025,0.328,Not Applicable,0.28-0.37
Deanna,Mueller,01784082320,9522 Eda Mill Vista,King County,cmraz@gmail.com,255-23-4044,2005-01-15,06/21/2025,0.495,0.189,0.49-0.51
Ferrell,McGlynn,07326839848,900 Leffler Pl SE,San Juan County,sawayn.leontine@renner.com,338-23-8587,2007-11-23,2024-06-26,0.007,0.112,0-0.07
Gorden,Wolff,905-324-2234,729 W Third St Apt. 772,King County,maebelle.gusikowski@plc.com,723-43-9491,1967-04-03,06/12/2024,0.463,.,0.45-0.52
Jackeline,Moen,422.518.9599,74030 McCullough Way SE,King County,davis.winfred@hotmail.com,728-58-8065,1988-10-20,02/13/2025,0.22,0.657,0.2-0.27
Janene,Harris,1-805-879-2069x4982,77594 Luciano Place East,Whitman County,adolph40@group.com,785-53-4950,1960-01-16,06/21/2025,0.762,1,0.71-0.85
Major,Harris,486-267-7038x8570,834 W Madlyn Dr Apt. 094,Spokane County,michelina.walter@yahoo.com,309-09-4111,2016-08-05,05/13/2024,0.498,0.46,0.43-0.51
Javier,Rath,(161)105-5926,414 NorthWest Wehner Avenue,King County,omari.prohaska@yahoo.com,601-68-6244,1984-01-13,2024-02-20,0.353,0.464,0.29-0.35
Dylan,Senger,(189)618-6443,097 SW Kilback Lane,King County,ukub@inc.net,065-47-3793,2015-09-06,08/10/25,0.563,0.838,0.55-0.59
Anderson,Bashirian,1-564-612-7243,6996 36th St. E Apt. 145,King County,ramsey65@ltd.biz,274-25-7546,2019-09-15,05/01/24,0.392,0.681,0.31-0.41
Jalynn,Simonis,1-609-857-4707x594,1969 Runte Dr SW,King County,tlubowitz@heathcote.net,660-86-0402,2009-12-12,04/26/2024,0.272,0.502,0.26-0.32
Shirley,Schimmel,(973)849-5793x4391,813 Vassie Ste,King County,johnson.lawton@plc.info,703-50-4758,1978-10-28,02/24/2024,0.394,0.24,0.39-0.43
Deforest,Smitham,1-662-369-5317,22557 West 75th Avenue Apt. 231,Spokane County,huels.shatara@hotmail.com,325-41-7594,2018-09-13,2025-02-19,0.377,0.674,0.35-0.47
Harmon,Walter,529-942-3442,136 Rippin Road SouthWest,Spokane County,dach.emilio@hotmail.com,455-92-7138,1973-09-05,2024/02/15,0.362,0.56,0.3-0.37
Leonie,Nolan,926-369-3375,324 SouthWest 39th Ave Apt. 571,Grays Harbor County,tprosacco@pfeffer.net,201-83-0532,1991-09-13,08/13/2024,0.45,0.749,0.43-0.47
Bobbie,Rodriguez,1-733-533-0073x80896,076 Fahey Highway N,King County,schaden.farrell@yahoo.com,506-57-9892,1935-07-24,05/02/2024,0.028,0.304,0-0.05
Zada,Kub,1-830-344-1970,669 Ryan Blvd NW Apt. 284,Clark County,lkling@plc.info,229-94-3705,1953-07-10,2025-06-17,0.811,0.39,0.78-0.81
Bobbye,Jenkins,315-408-4246,517 Gutmann Way E,King County,blanda.tisa@wuckert.com,105-54-6433,2008-07-08,02/09/2024,0.519,0.284,0.49-0.55
Kasey,Douglas,1-004-289-4393,96889 Larson Ln,King County,ebbie90@witting.com,480-60-8841,2012-08-12,2024/02/04,0.308,0.659,0.22-0.33
Karren,Johns,136.353.0498x465,3906 Wolf Avenue Avenue E,King County,jshields@ruecker.info,576-48-9648,1940-10-21,2024/09/19,0.716,0.673,0.71-0.75
Clifton,Oberbrunner,1-184-328-7960x60527,816 26th St. NE Apt. 515,King County,ewin.beer@plc.com,354-66-0461,1937-08-14,2024-01-03,0.553,0.699,0.51-0.56
Sister,Senger,1-673-275-1716x6700,827 Darl Road South,Snohomish County,johnson.avon@kemmer.com,856-89-7112,1976-06-23,2025-01-14,0.999,1,0.98-1
Jedidiah,Grant,(641)946-9847,612 South D'Amore Drive Apt. 803,Clark County,enrique.rice@rice.com,497-77-0616,1968-11-19,04/10/2025,0.396,0.866,0.39-0.42
Joelle,Schmeler,(759)748-3834,104 SE Parley Pl,Skagit County,reta.romaguera@hotmail.com,380-21-5629,1946-02-25,04/23/25,0.464,0.809,0.45-0.53
Carson,Powlowski,(994)928-4194,0200 Gottlieb Place East Apt. 090,King County,feeney.elon@hotmail.com,699-45-2142,2003-07-25,2024-07-04,0.493,0.601,0.48-0.51
Kael,Durgan,377-996-0811,6740 Lottie Highway N,Snohomish County,zgorczany@gmail.com,614-02-3922,1937-05-01,2024-11-26,0.952,1,0.92-0.96
Bernardine,Bechtelar,509-404-4748,0486 NorthWest Braelyn Ln,King County,lkovacek@balistreri.com,146-46-4961,1936-08-18,05/09/25,0.697,0.08,0.68-0.75
Octavius,Kilback,+93(7)1113548787,0192 North 35th Ave.,Pierce County,mwaelchi@rowe.org,216-90-7230,1993-06-04,05/03/25,1,0.97,0.97-1
Jamya,Jakubowski,816.083.0768x51013,926 S Ratke Station Pl,Spokane County,christel.beatty@gmail.com,093-11-3020,1936-06-15,08/22/2025,0.746,0.301,0.69-0.81
Sydni,Gaylord,668.465.3594x39439,203 Louis Boulevard SE,Yakima County,bednar.adriane@ltd.com,489-12-9198,1977-08-04,2025-07-01,0.594,0.846,0.59-0.6
Jed,Runolfsdottir,483-573-0042,42957 Spencer Avenue NW,King County,egusikowski@yahoo.com,020-16-0903,2017-04-29,2025-07-27,0.475,0.539,0.44-0.51
Braden,Fahey,1-785-389-4406x78826,15178 McLaughlin Hwy North,Okanogan County,adelle69@hotmail.com,456-62-8660,1932-02-09,08/22/2024,0,0.015,0-0.08
Eulalia,Cole,1-804-013-7371,50732 August Rd NE Apt. 523,King County,burke.runolfsson@gmail.com,591-38-3273,1934-12-25,2025/07/17,0.49,0.695,0.46-0.51
Ruby,Kuhlman,397-317-9370,12594 NorthWest Sporer Dr,King County,kheidenreich@hotmail.com,477-64-3942,1935-09-11,2025-06-20,0.603,0.269,0.54-0.62
Azariah,Medhurst,1-503-058-4530x07330,3045 39th St. S,King County,okuneva.kittie@harvey.com,781-35-1322,2002-04-16,03/05/2024,0.226,0.312,0.19-0.25
Kailee,Blick,+60(9)2720090748,28765 NorthWest Bertha Avenue,Snohomish County,dosha21@considine.info,718-06-6526,2005-06-15,04/10/2025,0.826,1,0.81-0.86
Herschel,O'Connell,+76(4)3482710734,110 SouthWest Breitenberg Vista,Pierce County,amelia02@yahoo.com,450-59-2659,1999-12-12,2025-06-22,1,0.964,0.96-1
Abby,Bogisich,(352)082-9971x1901,5188 Greg Blvd NW Apt. 317,Clark County,gunda.wisozk@hotmail.com,309-11-4409,1986-11-24,2025-03-29,0.252,0.683,0.23-0.26
Lesia,Luettgen,1-116-147-0159x5380,2638 Alwine Way E Apt. 021,Clark County,elvie.blanda@gmail.com,547-47-4684,2003-08-24,2024/09/02,0.568,0.812,0.47-0.6
Paxton,Casper,05855017052,15159 69th St. SouthWest,Whatcom County,karyn.brown@lindgren.com,815-41-9127,1936-07-07,2024/02/06,0.237,0.064,0.19-0.24
Martell,Yost,+22(4)5082054328,106 40th Avenue N,Benton County,arizona54@hettinger.info,152-45-4750,1998-03-30,2024/12/17,0.67,0.236,0.58-0.69
Cornelia,Conn,613.368.8329x7540,3238 SouthWest Camden Drive,Thurston County,lars.streich@lakin.com,824-20-0095,1974-06-29,04/29/2025,0.99,0,0.95-0.99
Kael,Harvey,872-424-6391,65293  Reilly Boulevard,King  County,dustan67@gmail.com,565-91-7745,1978-01-31,2025-07-10,0.627,0.355,0.62-0.68
Santina,Johnson,064-459-5809x375,665 48th Street West,Benton County,aharris@hotmail.com,730-40-8230,1960-09-20,2024/05/20,0.353,0.138,0.33-0.36
Keenen,Rau,00027245561,08197 Kerry Vista E Apt. 546,Clark County,powlowski.otelia@kiehn.info,888-70-8212,1972-10-24,2024-09-29,0.649,0.803,0.64-0.67
Eric,Kunde,1-528-870-4908x210,6522 Paucek Place W,Benton County,zoie.sauer@yahoo.com,844-42-5299,1983-03-16,2024/02/01,0.178,0.189,0.17-0.25
Krish,Ullrich,(919)006-6023x526,46719 70th Ave NW Apt. 380,King County,xconnelly@yahoo.com,187-64-8916,1999-02-25,2024-08-14,0.291,0.623,0.27-0.34
Geoffrey,Jakubowski,1-776-361-7940x7643,59640 Annetta Avenue West,Yakima County,tolson@hotmail.com,365-64-2031,2004-06-17,05/13/25,0.925,0.999,0.87-0.93
Jajuan,Jacobs,+55(9)1585529625,15168 SouthWest Leannon Alley,Benton County,eschumm@koch.com,883-54-2483,2006-01-07,2024-09-29,0.51,0.586,0.49-0.56
Wilson,Muller,016.887.6167,50865 Tosha Dr,Thurston County,west.bette@ltd.com,063-92-5349,1993-08-18,2024-08-07,0.447,0.001,0.31-0.5
Cornelius,McLaughlin,05030997674,,Whatcom County,zela15@llc.com,046-71-1645,1978-02-15,03/06/2024,0.008,0.026,0-0.03
Jana,Schmitt,155.336.6408x08026,108 South Beier Ste Apt. 466,Skagit County,imoore@hotmail.com,067-57-9176,1943-08-04,03/03/2024,0.861,0.103,0.83-0.89
Catina,Rutherford,07238636600,32147 NorthWest Dovie St,Spokane County,rrutherford@inc.com,652-90-7043,2005-09-06,2024-05-03,0.59,0.63,0.55-0.66
Nash,Langworth,05665162953,867 North Jean Dr,Benton County,griselda54@yahoo.com,181-60-9324,1989-11-16,02/14/2025,0.433,0.113,0.42-0.49
Kaelynn,Lemke,(273)138-1254x96382,660 Lowe Pl NorthEast,Thurston County,upton.prentice@hotmail.com,588-96-2954,1980-06-21,12/29/2024,0.086,0.013,0.08-0.12
Mariann,Crona,1-652-255-4621,628 NE Third Ave Apt. 608,Thurston County,linn23@gmail.com,644-59-0649,1938-01-19,06/17/2025,0.282,0.007,0.26-0.29
Monte,Murray,687-099-4557,3976 SW 9th Ave.,Pierce County,ischamberger@gmail.com,748-73-0873,1951-12-14,05/15/2024,1,1,0.96-1
Royal,O'Keefe,717.537.2831,095 Third St.,Thurston County,rosia.reichel@yahoo.com,046-06-4858,1968-05-22,07/16/2025,0.032,0.052,0.03-0.08
Ilona,Wyman,+99(1)8291842397,929 NorthWest 9th Ave.,King County,hkirlin@towne.com,007-16-7916,2021-12-19,2024-11-28,0.343,0.462,0.29-0.35
Vicy,Schiller,(883)848-0093x1486,address,Chelan County,georgie71@hotmail.com,262-40-4990,1972-11-24,05/21/24,0.678,0.451,0.65-0.69
Wash,Sanford,1-026-251-0657,00621 Melisa Extension Apt. 372 Ln Apt. 372,King County,unolan@yahoo.com,674-64-7284,1936-12-31,07/06/2025,0.357,0.491,0.35-0.36
Beverley,Klocko,(572)983-3865x85710,667 Ewald Alley NW,Clark County,turner.lugenia@yahoo.com,262-41-1766,2008-10-03,2024/08/07,0.469,0.683,0.47-0.55
Rubye,Kuphal,+82(4)9909959887,42595 Donnelly Drive West Apt. 191,Franklin County,deloris63@becker.biz,668-23-8888,1971-12-30,01/20/2025,0.592,0.846,0.53-0.63
Finis,Stokes,1-565-194-5892,7708 22th St.,Yakima County,nkunde@hotmail.com,562-77-5452,1958-12-27,2024/10/04,0.515,1,0.49-0.55
Jammie,Ryan,1-671-189-9424x94179,583 2nd St E,King County ,magdalene67@orn.biz,576-01-8294,1955-12-29,2024/12/07,0.51,0.46,0.5-0.55
Amir,Schuppe,799.200.1138,415 Katharina Avenue SW Apt. 607,Snohomish County,armida.stiedemann@yahoo.com,473-68-3506,1957-05-22,2025/01/29,1,1,0.99-1
Melvina,Powlowski,(639)695-9118x921,11478 Bartell Ave S,King County,wilderman.brenton@funk.org,800-35-2172,1992-01-24,05/29/2025,0.85,0.418,0.83-0.9
Tallie,Stracke,416-315-2505x155,776 NorthEast Veum Neck Dr,PierceCounty,braelyn.champlin@carroll.com,318-17-5487,1951-01-29,09/29/2024,0.991,0.992,0.97-1
Khadijah,Blick,188.347.1664,75399 Klein Hwy South Apt. 017,Franklin County,mwilliamson@hotmail.com,417-98-6246,1933-02-05,2024/08/19,0.315,0.73,0.27-0.39
Dell,Murray,(643)591-9762,12653 O'Hara Ste SE,Clark County,willow.ankunding@altenwerth.org,377-65-2492,1985-12-29,03/10/24,0.922,0.863,0.9-0.93
Early,Aufderhar,421-974-9132x04609,166  Debi Vista,Yakima County,barnett.gerlach@and.net,491-49-5729,1937-12-24,2024/02/24,0.782,0.962,0.72-0.79
Delma,Ledner,357.462.4284,517 NorthWest Mills Pl,King County,alida.hammes@gmail.com,352-89-8440,1967-04-03,2024/10/22,0.426,0.214,0.37-0.49
Jude,Hilll,(479)104-0104x56749,2821 Jedediah Drive,King County,dare.pat@blick.org,665-71-6115,1930-01-18,06/07/2025,0.668,0.434,0.65-0.71
Sharlene,Franecki,288-910-8300,923 Lilia Lane Apt. 305,King County,murazik.pallie@west.com,604-11-5702,1949-11-07,05/01/2024,0.084,,0.05-0.1
Jerrad,Halvorson,1-446-487-4793x011,39683 75th Street,Snohomish County,abradtke@hotmail.com,028-53-3084,1959-12-08,2024-10-21,1,1,0.99-1
Nery,Graham,1-667-325-0316x593,5482 Erin Dr NE,King County,omante@renner.net,595-47-5972,2014-12-10,08/11/2024,0.346,0.223,0.34-0.37
Manson,Hagenes,01378543337,45805 Velvet Vista,Pierce County,jaslyn.kirlin@gmail.com,050-33-8074,1990-04-05,2024-10-08,0.752,0.976,0.67-0.76
Demetrios,Kilback,803-450-1521,64564 56th Ave SouthWest Apt. 060,Snohomish County,gkovacek@gmail.com,066-32-3954,1962-06-12,2024-04-30,1,1,1-1
Dara,Predovic,675-252-8191x507,4181 59th Ave. NorthEast,Lincoln County,victoriano91@lubowitz.net,482-65-0648,2023-06-23,2024/02/26,0.457,0.585,0.4-0.49
